Object ID,Circularity Factor ,Total Intensity GFP,Mean Intensity GFP,Total Intensity mCherry,Mean Intensity mCherry,Total Intensity Brightfield,Mean Intensity Brightfield,Area ,Well ,Center X ,Center Y ,Parent Object ID (Well),Parent Trace ID,R01
0,1.0553763,4719760,7340.2178,1245952,1937.7169,42139004,65535,643,7,71,18,6,-1,1
1,1.0593726,6628256,7299.8413,1910624,2104.2114,59505780,65535,908,7,708.5,18.5,6,-1,1
2,1.0403355,3032224,4234.9497,1353872,1890.8827,46923060,65535,716,7,1664,19.5,6,-1,1
3,1.0546398,2596064,9946.6055,526256,2016.3065,17104636,65535,261,7,2007.5,13,6,-1,1
4,1.0217908,10374960,8137.2236,2600304,2039.4541,83557128,65535,1275,7,1566.5,25.5,6,-1,1
5,1.0258721,11205888,9346.0283,2502704,2087.3262,78576464,65535,1199,7,1787.5,26.5,6,-1,1
6,1.026169,11137264,6445.1758,3368128,1949.1482,113244480,65535,1728,7,1973.5,29.5,6,-1,1
7,1.1009006,6021200,9572.6553,1397839.9,2222.321,41221516,65535,629,7,1051.5,24,6,-1,1
8,1.0603718,10337888,9044.5215,2376336,2079.0342,74906504,65535,1143,7,1014.5,27.5,6,-1,1
9,1.054057,2785376,3669.7971,1469376,1935.9368,49741064,65535,759,7,571,28,6,-1,1
10,1.0922246,12021008,8453.5918,2967856,2087.0999,93190768,65535,1422,7,374,34.5,6,-1,1
11,1.0473263,9993984,5882.2744,3433520,2020.9064,111343970,65535,1699,7,274.5,36.5,6,-1,1
12,1.0793561,4958224,5224.6826,1848208,1947.5321,62192716,65535,949,7,180,35,6,-1,1
13,1.1879116,2904592,9913.2832,593856,2026.8123,19201756,65535,293,7,1620,27,6,-1,1
14,1.0496684,7894944,8130.7354,2066864,2128.5933,63634484,65535,971,7,1135,39,6,-1,1
15,1.0500615,7883888,7272.9595,2173472,2005.048,71039936,65535,1084,7,1270,41,6,-1,1
16,1.0711752,3921712,9953.584,850384,2158.335,25820790,65535,394,7,1398,33.5,6,-1,1
17,1.0336547,8313680,6957.0542,2315504,1937.6603,78314328,65535,1195,7,97.5,43.5,6,-1,1
18,1.0274941,2576624,2543.5579,1928288,1903.542,66386956,65535,1013,7,834,42.5,6,-1,1
19,1.1488281,2849744.2,8260.1279,705072,2043.687,22609576,65535,345,7,1169.5,37.5,6,-1,1
20,1.0444949,5425120,8049.1396,1339792,1987.8219,44170592,65535,674,7,680,41.5,6,-1,1
21,1.0323207,8581424,8837.7178,1967728,2026.4963,63634484,65535,971,7,763,43.5,6,-1,1
22,1.0253053,13117137,8484.5645,3172720,2052.2122,101317110,65535,1546,7,1090,48.5,6,-1,1
23,1.1398002,8394304,7356.9712,2292560,2009.255,74775432,65535,1141,7,1468,47,6,-1,1
24,1.0736663,7212272.5,9152.6299,1572592,1995.6752,51641580,65535,788,7,1683.5,45.5,6,-1,1
25,1.1527819,6436720.5,8480.5273,1533184,2020.0052,49741064,65535,759,7,1307,43.5,6,-1,1
26,1.0464885,5201984.5,8641.1699,1168048,1940.2791,39452072,65535,602,7,2010.5,45,6,-1,1
27,1.0232274,9525120,7024.4248,2739424,2020.2242,88865456,65535,1356,7,522,51.5,6,-1,1
28,1.0815885,1773072,4805.0732,730032,1978.4065,24182416,65535,369,7,210.5,45.5,6,-1,1
29,1.0466944,488224,1952.896,463232,1852.928,16383750,65535,250,7,1595,45.5,6,-1,1
30,1.0288438,8917600,8055.646,2274160,2054.345,72547248,65535,1107,7,1642.5,53,6,-1,1
31,1.1398452,7363312,7261.6489,1995536,1967.9843,66452488,65535,1014,7,239.5,60.5,6,-1,1
32,1.0259032,10271136,8877.3867,2296784,1985.1201,75823992,65535,1157,7,1192.5,56.5,6,-1,1
33,1.0447908,8368352,7872.3911,2049712,1928.2333,69663704,65535,1063,7,1929,56.5,6,-1,1
34,1.0782233,6295840,8144.6831,1651935.9,2137.0452,50658556,65535,773,7,642,53,6,-1,1
35,1.0385437,12095872,7032.4839,3496512,2032.8558,112720200,65535,1720,7,721.5,63.5,6,-1,1
36,1.0435788,3215888,4542.2148,1403472,1982.3051,46398780,65535,708,7,461,55,6,-1,1
37,1.0617025,3581104,7445.1226,998080.06,2075.0105,31522336,65535,481,7,872,54.5,6,-1,1
38,1.0125671,10843696,6286.2007,3610112,2092.8186,113047870,65535,1725,7,1036,67.5,6,-1,1
39,1.03133,1157104,3127.3081,708128,1913.8595,24247950,65535,370,7,1572.5,55.5,6,-1,1
40,1.0991852,2815536,10019.701,698432,2485.5232,18415336,65535,281,7,1431,55.5,6,-1,1
41,1.2675854,608416,1937.6306,584496,1861.4523,20577990,65535,314,7,1812.5,55,6,-1,0
42,1.0262703,11462704,8763.5352,2700032,2064.2446,85719776,65535,1308,7,914.5,69.5,6,-1,1
43,1.0281293,7351184,6288.438,2276960,1947.7844,76610416,65535,1169,7,353.5,70.5,6,-1,1
44,1.0434652,2648160,3373.4521,1513472,1927.9899,51444976,65535,785,7,1507.5,66.5,6,-1,1
45,1.0416997,5487728,7220.6948,1577167.9,2075.2209,49806600,65535,760,7,1156.5,66.5,6,-1,1
46,1.0260434,10374752,5848.2256,3496096,1970.7418,116259090,65535,1774,7,1886.5,75,6,-1,1
47,1.0618275,5105200,6048.8149,1654656,1960.4929,55311540,65535,844,7,161,68.5,6,-1,1
48,1.0832971,6145516,10877.02,1181936,2091.9221,37027276,65535,565,7,801,68.5,6,-1,1
49,1.0419312,9189440,6919.7593,2607088,1963.1687,87030480,65535,1328,7,204.5,75,6,-1,1
50,1.1578287,2715504,6672,789488,1939.7739,26672744,65535,407,7,126,66,6,-1,1
51,1.0713908,5007328,5321.2837,1885920,2004.1658,61668436,65535,941,7,670.5,75,6,-1,1
52,1.0748627,3726768,7236.4429,1103296,2142.3223,33750524,65535,515,7,1318,72,6,-1,1
53,1.0660706,2073664,3797.9194,1044752,1913.4652,35782112,65535,546,7,1751,71.5,6,-1,1
54,1.0738317,7769504,6485.3955,2447552,2043.0317,78510928,65535,1198,7,485.5,78.5,6,-1,1
55,1.0985982,6264368,6444.8232,1927312,1982.8313,63700020,65535,972,7,74,80,6,-1,1
56,1.0564446,8233120.5,7383.9644,2204128,1976.7964,73071528,65535,1115,7,1783,82.5,6,-1,1
57,1.0702388,4156272,8569.6328,1031999.9,2127.835,31784476,65535,485,7,1124,76,6,-1,1
58,1.0297509,10965984,9176.5557,2447968,2048.5088,78314328,65535,1195,7,1352,81.5,6,-1,1
59,1.0297919,10193440,7456.7959,2694496,1971.1017,89586344,65535,1367,7,1992,84,6,-1,1
60,1.0552396,5789024,7557.4727,1648176,2151.6658,50199808,65535,766,7,761,79.5,6,-1,1
61,1.1212813,329680,1939.2941,307568,1809.2235,11140950,65535,170,7,2024.5,71.5,6,-1,1
62,1.0666323,1138352,2817.7029,794608,1966.8514,26476140,65535,404,7,1476.5,75.5,6,-1,1
63,1.0718589,11995344,8568.1025,2858608,2041.8629,91749000,65535,1400,7,1602,88,6,-1,1
64,1.0552196,9192160,6709.606,2770928,2022.5752,89782952,65535,1370,7,277,88,6,-1,1
65,1.0352055,9476368,6292.4092,3171664,2106.0186,98695712,65535,1506,7,864.5,92.5,6,-1,1
66,1.0312374,12298928,8017.5542,3235584,2109.2463,100530690,65535,1534,7,621,93,6,-1,1
67,1.1246478,4229072,9633.4219,948991.94,2161.7129,28769864,65535,439,7,1096,85,6,-1,1
68,1.0612801,8688176,8468.0078,2088832,2035.8987,67238912,65535,1026,7,1650,90.5,6,-1,1
69,1.0568812,7883568,8152.604,1998016,2066.2007,63372344,65535,967,7,1392,92,6,-1,1
70,1.0877261,2391616,3645.7561,1249600,1904.8781,42990960,65535,656,7,108,92,6,-1,1
