Object ID,Circularity Factor ,Total Intensity GFP,Mean Intensity GFP,Total Intensity mCherry,Mean Intensity mCherry,Total Intensity Brightfield,Mean Intensity Brightfield,Area ,Well ,Center Y ,Center X ,Parent Object ID (MO),Parent Trace ID,MO.R01
0,1.191024,644016,29273.455,72560,3298.1819,1441770,65535,22,7,16,1048,7,-1,1
1,1.099665,317328,24409.846,40720,3132.3076,851955,65535,13,7,47,359.5,10,-1,1
2,1.4317377,390896,26059.732,44080,2938.6667,983025,65535,15,7,35,1400,16,-1,1
3,1.023972,307536,30753.6,29936,2993.6001,655350,65535,10,7,71,242.5,31,-1,1
4,1.145183,899696,35987.84,79456,3178.24,1638375,65535,25,7,42.5,732,35,-1,1
5,1.2562897,589792,12548.766,182304,3878.8086,3080145,65535,47,7,51.5,1433,40,-1,1
6,1.0075276,419440,23302.223,53888,2993.7778,1179630,65535,18,7,71,1154.5,45,-1,1
7,1.4331947,957772,45608.191,66032,3144.3809,1376235,65535,21,7,78.5,797,48,-1,1
8,1.3230573,254464,12723.2,63120,3156,1310700,65535,20,7,70,1316,52,-1,1
9,1.1240444,1080928,25137.861,144688,3364.8372,2818005,65535,43,7,81.5,761.5,60,-1,1
10,1.044667,85392,7116,37312,3109.3333,786420,65535,12,7,99,847,65,-1,1
11,1.3054673,316768,9050.5146,114592,3274.0571,2293725,65535,35,7,109.5,624,66,-1,1
12,1.6897863,313536,16501.895,60288,3173.0527,1245165,65535,19,7,98.5,1119,81,-1,1
13,1.0128495,298000,14190.477,69328,3301.3333,1376235,65535,21,7,114,1130.5,81,-1,1
14,1.1729374,332080,19534.117,50592,2976,1114095,65535,17,7,122.5,400.5,82,-1,1
15,1.4634985,112447.99,8649.8457,38736,2979.6924,851955,65535,13,7,123.5,1644.5,87,-1,1
16,0.92101441,238672,23867.199,29984,2998.3999,655350,65535,10,7,118.5,881.5,91,-1,1
17,1.3235566,918303.94,34011.258,86800,3214.8147,1769445,65535,27,7,144.5,905.5,91,-1,1
18,1.9017975,1578640,9125.0869,541040,3127.3989,11337555,65535,173,7,164.5,288.5,107,-1,1
