Cell ID,Well ,Strain,Cell Mean Intensity GFP,Cell Total Intensity GFP,Cell Area,Pex Mean Intensity GFP,Pex Total Intensity GFP,Pex Area
7,7,Control,9572.6553,6021200.0,629,29273.455,644016.0,22.0
10,7,Control,8453.5918,12021008.0,1422,24409.846,317328.0,13.0
16,7,Control,9953.584,3921712.0,394,26059.732,390896.0,15.0
31,7,Control,7261.6489,7363312.0,1014,30753.6,307536.0,10.0
35,7,Control,7032.4839,12095872.0,1720,35987.84,899696.0,25.0
40,7,Control,10019.701,2815536.0,281,12548.766,589792.0,47.0
45,7,Control,7220.6948,5487728.0,760,23302.223,419440.0,18.0
48,7,Control,10877.02,6145516.0,565,45608.191,957772.0,21.0
52,7,Control,7236.4429,3726768.0,515,12723.2,254464.0,20.0
60,7,Control,7557.4727,5789024.0,766,25137.861,1080928.0,43.0
65,7,Control,6292.4092,9476368.0,1506,7116.0,85392.0,12.0
66,7,Control,8017.5542,12298928.0,1534,9050.5146,316768.0,35.0
81,7,Control,9118.3945,13358448.0,1465,15346.186000000002,305768.0,20.0
82,7,Control,9065.7422,11241520.0,1240,19534.117,332080.0,17.0
87,7,Control,7866.8564,7292576.0,927,8649.8457,112447.99,13.0
91,7,Control,9270.5547,12626495.0,1362,28939.2285,578487.97,18.5
107,7,Control,7661.7622,12818128.0,1673,9036.943350000001,834064.0,91.5
110,7,Control,10225.773,4427760.0,433,22782.0,364512.0,16.0
111,7,Control,9422.9014,14134352.0,1500,25384.1905,367104.0,14.5
116,7,Control,9075.5283,10572990.0,1165,47738.0,525118.0,11.0
119,7,Control,12667.091,3888797.0,307,47383.812,758141.0,16.0
120,7,Control,14663.728,8343661.0,569,34798.9405,666438.53,24.0
123,7,Control,9127.9678,13564160.0,1486,29315.766,996736.0,34.0
129,7,Control,7695.1514,5532814.0,719,16145.82615,571375.0,65.5
131,7,Control,12749.116,6808028.0,534,53329.0,639948.0,12.0
136,7,Control,8413.1621,12190672.0,1449,23697.684999999998,711672.05,28.5
137,7,Control,7481.7109,6052704.0,809,11539.429,161552.0,14.0
139,7,Control,5904.9058,5946240.0,1007,23129.334,277552.0,12.0
142,7,Control,7561.5737,4612560.0,610,18423.467,276352.0,15.0
149,7,Control,9044.9131,10899120.0,1205,9342.978659999999,448457.6,49.6
156,7,Control,11437.13,5100960.0,446,16535.619,347248.0,21.0
159,7,Control,9747.6611,5068784.0,520,13281.226799999999,264496.00666666665,25.333333333333332
162,7,Control,8698.0986,6532272.0,751,7822.3999,78224.0,10.0
163,7,Control,5136.6729,4396992.0,856,24976.0,299712.0,12.0
165,7,Control,9555.4521,6067712.0,635,15772.0,189264.0,12.0
167,7,Control,5769.2354,3998080.0,693,21104.333,915976.0,43.5
178,7,Control,9675.1592,5340688.0,552,26008.0,292728.0,11.0
179,7,Control,10383.929,7009152.0,675,37943.273,417376.0,11.0
182,7,Control,6298.6494,7835520.0,1244,6308.364549999999,439181.3383333334,57.166666666666664
191,7,Control,8942.7305,3720176.0,416,12441.333,298592.0,24.0
197,7,Control,9027.7344,10210368.0,1131,11458.529375,420412.0,36.5
