Cell ID,Well ,Strain,Cell Mean Intensity GFP,Cell Total Intensity GFP,Cell Area,Pex Mean Intensity GFP,Pex Total Intensity GFP,Pex Area
632,7,Control,6136.125,7866512.0,1282,18773.334,506880.03,27.0
7,7,Control,9572.6553,6021200.0,629,29273.455,644016.0,22.0
1226,7,Control,9170.9844,4227824.0,461,6091.52,152288.0,25.0
304,7,Control,9413.0869,9356608.0,994,7148.9033,221616.0,31.0
795,7,Control,13869.885,2413360.0,174,21516.445,968240.06,45.0
902,7,Control,11491.61,10491840.0,913,27865.6,417984.0,15.0
275,7,Control,8684.6963,7069343.0,814,35982.785,503759.0,14.0
1342,7,Control,7188.5801,9618320.0,1338,5459.2002,54592.0,10.0
1212,7,Control,8158.8594,8925792.0,1094,29217.455,321392.0,11.0
1158,7,Control,8973.0879,12104696.0,1349,45249.5,1176487.0,26.0
1014,7,Control,12293.841,9564608.0,778,21601.143,604832.0,28.0
815,7,Control,8522.5947,3809599.8,447,11396.267,170944.0,15.0
199,7,Control,8436.1416,13261615.0,1572,31723.035000000003,943151.5,29.5
806,7,Control,9626.9785,11446477.0,1189,27799.385,722784.0,26.0
994,7,Control,11727.984,11692800.0,997,35185.281,879632.0,25.0
65,7,Control,6292.4092,9476368.0,1506,7116.0,85392.0,12.0
1260,7,Control,10161.129,4033968.2,397,17991.428,503759.97,28.0
969,7,Control,7864.4336,11607904.0,1476,31600.0,316000.0,10.0
1205,7,Control,8436.1846,3290112.0,390,41681.602,416816.0,10.0
1249,7,Control,10502.744,8097615.5,771,22179.691,576672.0,26.0
748,7,Control,6771.4658,11816208.0,1745,33577.602,335776.0,10.0
1058,7,Control,7369.937,7274128.0,987,19275.428,269856.0,14.0
333,7,Control,3611.6201,3232400.0,895,26065.684,495248.0,19.0
279,7,Control,7105.8794,10708560.0,1507,16058.667,192704.0,12.0
376,7,Control,12195.482,7780718.0,638,34284.4715,888471.0,26.5
368,7,Control,9675.4248,16177310.0,1672,26271.714,449328.0,16.5
948,7,Control,13578.733,5445072.0,401,32271.733500000002,568088.0,17.5
354,7,Control,8407.7715,9727792.0,1157,15910.109,166224.0,10.5
197,7,Control,9027.7344,10210368.0,1131,11458.529375,420412.0,36.5
312,7,Control,9280.1826,10588688.0,1141,19013.334,285200.0,15.0
609,7,Control,16698.559,4692295.0,281,32386.41,1813639.0,56.0
858,7,Control,7084.5044,1686112.0,238,32932.801,329328.0,10.0
696,7,Control,8883.5957,10713616.0,1206,13034.947,247664.0,19.0
